Title,Category,Predicted Category
Astronomers Discover the Fastest-Feeding Black Hole in the Early Universe,Data Science,Blockchain
One of the Fastest-Spinning Stars in the Universe,Neural Networks,Blockchain
'Cool' White Car Headlights More Likely to Dazzle Moths,Geography,Blockchain
'Game Changer' in Lithium Extraction: Researchers Develop Novel Electrochemical Reactor,History,Blockchain
Scientists Find a New Way of Entangling Light and Sound,Sports,Blockchain
Wave-Predicting Robots Could Cut Green Energy Costs,Quantum Computing,Blockchain
Scientists Compile Library for Evaluating Exoplanet Water,Blockchain,Blockchain
Long-Sought Measurement of Exotic Beta Decay in Thallium Helps Extract the Timescale of the Sun's Birth,General Knowledge,Blockchain
New Solar Composition Ratios That Could Reconcile Longstanding Questions,Political News,Blockchain
Astronomers' Theory of How Galaxies Formed May Be Upended,Science,Blockchain
Behavioral Analysis in Mice: More Precise Results Despite Fewer Animals,Artificial Intelligence,Blockchain
Bluetooth Technology Unlocks Urban Animal Secrets,Machine Learning,Blockchain
"NeuroMechFly V2: Simulating How Fruit Flies See, Smell, and Navigate",Deep Learning,Blockchain
Deep Learning Streamlines Identification of 2D Materials,Data Science,Blockchain
First Amber Find on the Antarctic Continent,Neural Networks,Blockchain
New Insights Into the Denisovans: New Hominin Group That Interbred With Modern Day Humans,Geography,Blockchain
Elephant Turns a Hose Into a Sophisticated Showering Tool,History,Blockchain
DNA Evidence Rewrites Story of People Buried in Pompeii Eruption,Sports,Blockchain
Frog Populations Once Decimated by Disease Mount a Major Comeback,Quantum Computing,Blockchain
Optical Biosensor Rapidly Detects Mpox Virus,Blockchain,Blockchain
'Achilles Heel' of Drug-Resistant Pathogens,General Knowledge,Blockchain
Researchers Reveal Why a Key Tuberculosis Drug Works Against Resistant Strains,Political News,Blockchain
"Linking Data on Genetics, Traits and Environment Gives Crop Breeders a Wider Lens",Science,Blockchain
Climate Change Threatens Key Ocean Plankton Groups,Artificial Intelligence,Blockchain
Spectacular Chimneys Discovered in the Dead Sea,Machine Learning,Blockchain
Air Pollution Exposure May Be Associated With Eczema,Deep Learning,Blockchain
"More Evidence That Europe's Ancient Landscapes Were Open Woodlands: Oak, Hazel and Yew Were Abundant",Data Science,Blockchain
On the Origin of Life: How the First Cell Membranes Came to Exist,Neural Networks,Blockchain
"A New Wrinkle in Turtles: Their Genomes Fold in a Unique Way, Researchers Find",Geography,Blockchain
Was 'Snowball Earth' a Global Event? Study Delivers Best Proof Yet,History,Blockchain
The True Global Impact of Species-Loss Caused by Humans Is Far Greater Than Expected,Sports,Blockchain
Rapid Loss of Antarctic Ice After 2100 Likely Under Current Emissions,Quantum Computing,Blockchain
"Path to Prosperity for Planet and People Shrinking Rapidly, Scientists Warn",Blockchain,Blockchain
Methane Emissions Are Rising Faster Than Ever,General Knowledge,Blockchain
New Study Reveals Half a Century of Change on Britain's Iconic Limestone Pavements,Political News,Blockchain
Anti-Fatberg Invention Could Help Unclog City Sewers,Science,Blockchain
Building a Diverse Wildland Fire Workforce to Meet Future Challenges,Artificial Intelligence,Blockchain
Machine Learning Predicts Highest-Risk Groundwater Sites to Improve Water Quality Monitoring,Machine Learning,Blockchain
Probability Training: Preventing Errors of Reasoning in Medicine and Law,Deep Learning,Blockchain
Paving the Way for Polymer Design,Data Science,Blockchain
Teens Who Made History With Pythagoras' Theorem Discovery Publish Their First Academic Paper With New Proofs,Neural Networks,Blockchain
Studying Wikipedia Browsing Habits to Learn How People Learn,Geography,Blockchain
Manliness Concerns Impede Forgiveness of Coworkers,History,Blockchain
"Why People Think They're Right, Even When They Are Wrong",Sports,Blockchain
"A Method of 'Look Twice, Forgive Once' Can Sustain Social Cooperation",Quantum Computing,Blockchain
Artificial Intelligence Grunt Work Can Be Outsourced Using a New Blockchain-Based Framework,Blockchain,Blockchain
